asset_id,timestamp,metric,value
SKU-EXA,2026-09-08 05:09:00,radio.link_state,UP
SKU-EXA,2026-09-08 05:09:00,radio.rssi_dbm,-65.0
SKU-EXA,2026-09-08 05:09:00,radio.snr_db,23.6
SKU-EXA,2026-09-08 05:09:00,radio.vswr,1.06
SKU-EXA,2026-09-08 05:09:00,radio.tx_power_dbm,37
SKU-EXA,2026-09-08 05:09:00,radio.frequency_mhz,425.0
SKU-EXA,2026-09-08 05:09:00,radio.packet_loss_pct,0.84
SKU-EXA,2026-09-08 05:09:00,radio.time_since_last_frame_s,2
SKU-EXA,2026-09-08 05:09:00,radio.peer_units_seen,8
SKU-EXA,2026-09-08 05:09:00,radio.interference_events_24h,1
SKU-EXA,2026-09-08 05:09:00,time.source,GNSS
SKU-EXA,2026-09-08 05:09:00,time.offset_ms,52
SKU-EXA,2026-09-08 05:09:00,gnss.fix,A
SKU-EXA,2026-09-08 05:09:00,gnss.satellites,10
SKU-EXA,2026-09-08 05:09:00,ei.link_state,UP
SKU-EXA,2026-09-08 05:09:00,ei.telegram_age_s,1
SKU-EXA,2026-09-08 05:09:00,ei.aspect_mismatch_count,0
SKU-EXA,2026-09-08 05:09:00,ei.make,RRI
SKU-EXA,2026-09-08 05:09:00,power.mains_state,OK
SKU-EXA,2026-09-08 05:09:00,power.charger_state,FLOAT
SKU-EXA,2026-09-08 05:09:00,power.battery_backup_min,194
SKU-EXA,2026-09-08 05:09:00,power.dc_volts,27.1
SKU-EXA,2026-09-08 05:09:00,sw.version,4.0.2
SKU-EXA,2026-09-08 05:09:00,sw.track_db_version,TDB-2025-06-R1
SKU-EXA,2026-09-08 05:09:00,config.checksum,0x8F31AC20
SKU-EXA,2026-09-08 05:09:00,sec.auth_failures_24h,0
SKU-EXA,2026-09-08 05:09:00,sec.key_expiry_days,138
SKU-EXA,2026-09-08 05:09:00,sec.unknown_peer_attempts_24h,0
SKU-EXA,2026-09-08 05:09:00,sec.maint_port_open,false
SKU-EXA,2026-09-08 05:09:00,sec.default_credentials,false
SKU-EXA,2026-09-08 05:09:00,sec.firmware_signed,true
SKU-EXA,2026-09-08 05:09:00,sec.usb_events_24h,0
SKU-EXB,2026-09-08 05:25:00,radio.link_state,UP
SKU-EXB,2026-09-08 05:25:00,radio.rssi_dbm,-60.6
SKU-EXB,2026-09-08 05:25:00,radio.snr_db,22.5
SKU-EXB,2026-09-08 05:25:00,radio.vswr,1.23
SKU-EXB,2026-09-08 05:25:00,radio.tx_power_dbm,37
SKU-EXB,2026-09-08 05:25:00,radio.frequency_mhz,425.0
SKU-EXB,2026-09-08 05:25:00,radio.packet_loss_pct,0.47
SKU-EXB,2026-09-08 05:25:00,radio.time_since_last_frame_s,3
SKU-EXB,2026-09-08 05:25:00,radio.peer_units_seen,2
SKU-EXB,2026-09-08 05:25:00,radio.interference_events_24h,0
SKU-EXB,2026-09-08 05:25:00,time.source,GNSS
SKU-EXB,2026-09-08 05:25:00,time.offset_ms,58
SKU-EXB,2026-09-08 05:25:00,gnss.fix,A
SKU-EXB,2026-09-08 05:25:00,gnss.satellites,15
SKU-EXB,2026-09-08 05:25:00,ei.link_state,UP
SKU-EXB,2026-09-08 05:25:00,ei.telegram_age_s,4
SKU-EXB,2026-09-08 05:25:00,ei.aspect_mismatch_count,0
SKU-EXB,2026-09-08 05:25:00,ei.make,EI-A
SKU-EXB,2026-09-08 05:25:00,power.mains_state,OK
SKU-EXB,2026-09-08 05:25:00,power.charger_state,FLOAT
SKU-EXB,2026-09-08 05:25:00,power.battery_backup_min,361
SKU-EXB,2026-09-08 05:25:00,power.dc_volts,25.8
SKU-EXB,2026-09-08 05:25:00,sw.version,4.0.2
SKU-EXB,2026-09-08 05:25:00,sw.track_db_version,TDB-2025-06-R1
SKU-EXB,2026-09-08 05:25:00,config.checksum,0x8F31AC20
SKU-EXB,2026-09-08 05:25:00,sec.auth_failures_24h,0
SKU-EXB,2026-09-08 05:25:00,sec.key_expiry_days,261
SKU-EXB,2026-09-08 05:25:00,sec.unknown_peer_attempts_24h,0
SKU-EXB,2026-09-08 05:25:00,sec.maint_port_open,false
SKU-EXB,2026-09-08 05:25:00,sec.default_credentials,false
SKU-EXB,2026-09-08 05:25:00,sec.firmware_signed,true
SKU-EXB,2026-09-08 05:25:00,sec.usb_events_24h,0
SKU-EXC,2026-09-08 04:44:00,radio.link_state,UP
SKU-EXC,2026-09-08 04:44:00,radio.rssi_dbm,-70.3
SKU-EXC,2026-09-08 04:44:00,radio.snr_db,18.1
SKU-EXC,2026-09-08 04:44:00,radio.vswr,1.07
SKU-EXC,2026-09-08 04:44:00,radio.tx_power_dbm,37
SKU-EXC,2026-09-08 04:44:00,radio.frequency_mhz,425.5
SKU-EXC,2026-09-08 04:44:00,radio.packet_loss_pct,0.76
SKU-EXC,2026-09-08 04:44:00,radio.time_since_last_frame_s,3
SKU-EXC,2026-09-08 04:44:00,radio.peer_units_seen,6
SKU-EXC,2026-09-08 04:44:00,radio.interference_events_24h,1
SKU-EXC,2026-09-08 04:44:00,time.source,GNSS
SKU-EXC,2026-09-08 04:44:00,time.offset_ms,29
SKU-EXC,2026-09-08 04:44:00,gnss.fix,A
SKU-EXC,2026-09-08 04:44:00,gnss.satellites,9
SKU-EXC,2026-09-08 04:44:00,ei.link_state,UP
